Cennik blum - LISTOPAD 2025,,,,,,,,,
przy kursie 1 EUR =  4.25 PLN,,,,,,,,,
,,,,,,,,,
"Podane ceny mają wyłącznie charakter rekomendacji i nie są w żaden sposób wiążące dla kontrahentów, którzy posiadają swobodę w kształtowaniu swojej polityki cenowej.",,,,,,,,,
Przy zawieraniu i realizacji umów sprzedaży między Blum a Kupującym stosuje się Ogólne Warunki Handlowe Blum dostępne pod adresem http://www.blum.com,,,,,,,,,
,,,,,,,,,
Grupa,Symbol,Numer identyfikacyjny,Cena za,Cena PLN za 1 szt.,Min. Zamówienie,Waga [kg] za 1000 szt.,ilość na palecie [szt],Kod EAN,Opis produktu
CLIP 170, 70T6650.TLMB     V25  NI,03734283,1,"16,19",25,"185,779",1 500,9002617447606,"CLIP top zawias z szerokim kątem otw. 170°, Drzwi bliźniacze, bez     sprężyny, puszka: na wkręty+niklowany*P/U: 25/125"
CLIP 170, 71T6540B  MB    V125  NI,07108743,1,"16,41",125,"203,622",2 250,9002617657661,"CLIP top zawias z szerokim kątem otw. 170°, Drzwi nakładane, puszka:     INSERTA+niklowany*P/U: 125"
CLIP 170, 71T6550   MB    V125  NI,03703643,1,"11,60",125,"164,026",3 000,9002617443929,"CLIP top zawias z szerokim kątem otw. 170°, Drzwi nakładane, puszka: na     wkręty+niklowany*P/U: 125"
CLIP 170, 71T6580   MB    V125  NI,03283683,1,"11,90",125,"166,586",3 000,9002617415872,"CLIP top zawias z szerokim kątem otw. 170°, Drzwi nakładane, puszka:     wciskana+niklowany*P/U: 125"
CLIP 170, 71T6640B  MB     V25  NI,07133263,1,"21,00",125,"229,304",1 500,9002617659979,"CLIP top zawias z szerokim kątem otw. 170°, Drzwi bliźniacze, puszka:     INSERTA+niklowany*P/U: 25/125"
CLIP 170, 71T6650   MB     V25  NI,03703563,1,"16,19",25,"190,071",1 500,9002617443912,"CLIP top zawias z szerokim kątem otw. 170°, Drzwi bliźniacze, puszka: na     wkręty+niklowany*P/U: 25/125"
CLIP profile/thick door, 71B9550   MB    V250  NI,09349303,1,"11,94",250,"71,878",8 000,9002617794144,"CLIP top BLUMOTION zawias do drzwi profil. 95°, Drzwi nakładane, puszka:     na wkręty+niklowany*P/U: 250"
CLIP profile/thick door, 71B9550   MB    V250 ONS,08701018,1,"13,05",250,"71,868",8 000,9009494201697,"CLIP top BLUMOTION zawias do drzwi profil. 95°, Drzwi nakładane, puszka:     na wkręty+czarny*P/U: 250"
CLIP profile/thick door, 71B9580   MB    V250 ONS,04648348,1,"13,39",250,"74,474",8 000,9009494202304,"CLIP top BLUMOTION zawias do drzwi profil. 95°, Drzwi nakładane, puszka:     wciskana+czarny*P/U: 250"
CLIP profile/thick door, 71B9590   MB    V250  NI,09349783,1,"14,24",250,"84,411",4 500,9002617794205,"CLIP top BLUMOTION zawias do drzwi profil. 95°, Drzwi nakładane, puszka:     INSERTA+niklowany*P/U: 250"
CLIP profile/thick door, 71B9590   MB    V250 ONS,05931428,1,"15,34",250,"84,401",4 500,9009494202991,"CLIP top BLUMOTION zawias do drzwi profil. 95°, Drzwi nakładane, puszka:     INSERTA+czarny*P/U: 250"
CLIP profile/thick door, 71B9650   MB     V50  NI,09349923,1,"12,96",50,"77,901",6 000,9002617794229,"CLIP top BLUMOTION zawias do drzwi profil. 95°, Drzwi bliźniacze,     puszka: na wkręty+niklowany*P/U: 50/250"
CLIP profile/thick door, 71B9650   MB     V50 ONS,09526904,1,"14,07",50,"77,925",6 000,9009494216776,"CLIP top BLUMOTION zawias do drzwi profil. 95°, Drzwi bliźniacze,     puszka: na wkręty+czarny*P/U: 50/250"
CLIP profile/thick door, 71B9680   MB     V50  NI,09350053,1,"13,26",250,"80,507",6 000,9002617794298,"CLIP top BLUMOTION zawias do drzwi profil. 95°, Drzwi bliźniacze,     puszka: wciskana+niklowany*P/U: 50/250"
CLIP profile/thick door, 71B9690   MB     V50  NI,09350123,1,"15,22",250,"91,281",3 000,9002617794311,"CLIP top BLUMOTION zawias do drzwi profil. 95°, Drzwi bliźniacze,     puszka: INSERTA+niklowany*P/U: 50/250"
CLIP profile/thick door, 71B9690   MB     V50 ONS,03523673,1,"16,36",50,"91,305",3 000,9009494216783,"CLIP top BLUMOTION zawias do drzwi profil. 95°, Drzwi bliźniacze,     puszka: INSERTA+czarny*P/U: 50/250"
CLIP profile/thick door, 71B9750   MB     V50  NI,09350293,1,"13,09",50,"79,331",6 000,9002617794335,"CLIP top BLUMOTION zawias do drzwi profil. 95°, Drzwi wpuszczane,     puszka: na wkręty+niklowany*P/U: 50/250"
CLIP profile/thick door, 71B9750   MB     V50 ONS,09605940,1,"14,20",50,"79,321",6 000,9009494216790,"CLIP top BLUMOTION zawias do drzwi profil. 95°, Drzwi wpuszczane,     puszka: na wkręty+czarny*P/U: 50/250"
CLIP profile/thick door, 71B9780   MB     V50  NI,09350363,1,"13,43",250,"81,937",6 000,9002617794366,"CLIP top BLUMOTION zawias do drzwi profil. 95°, Drzwi wpuszczane,     puszka: wciskana+niklowany*P/U: 50/250"
CLIP profile/thick door, 71B9790   MB     V50  NI,09350433,1,"15,39",50,"93,024",3 000,9002617794380,"CLIP top BLUMOTION zawias do drzwi profil. 95°, Drzwi wpuszczane,     puszka: INSERTA+niklowany*P/U: 50/250"
CLIP profile/thick door, 71B9790   MB     V50 ONS,02620317,1,"16,49",50,"93,014",3 000,9009494216905,"CLIP top BLUMOTION zawias do drzwi profil. 95°, Drzwi wpuszczane,     puszka: INSERTA+czarny*P/U: 50/250"
